"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,-0.3463,-0.3463,-0.37066,0.41051,,13.7615,-0.26371,244.9793,245.1513,245.1536,245.0978,244.8444,244.8009,244.8249,,,
0.23712,0.23712,-0.11,-0.13441,0.6486,,43.7126,-0.22608,245.0462,245.1565,245.1569,245.1057,244.8576,244.8085,244.8296,,,
0,0.23712,-0.11,-0.11,0.6486,,43.7126,-0.19516,245.0908,245.1608,245.1598,245.1127,244.8702,244.8158,244.8342,,,
0.077494,0.077494,-0.032593,-0.032593,0.7266,,45.0292,-0.14537,245.1839,245.1988,245.1861,245.1372,244.8898,244.8268,244.8413,,,
0,0.077494,0.3148,-0.032593,0.7266,,45.8333,-0.11028,245.2459,245.2299,245.2091,245.1594,244.9086,244.8375,244.8483,,,
0,0,0.3148,-0.032593,0.7142,,45.8333,-0.085996,245.2873,245.2554,245.2292,245.1795,244.9267,244.8481,244.8552,,,
0,0,0.077494,-0.032593,0.7142,,47.5309,-0.069558,245.3149,245.2762,245.2468,245.1976,244.9441,244.8584,244.8621,,,
0,0,0.077494,-0.032593,0.56148,,47.5309,-0.058744,245.3332,245.2933,245.2622,245.214,244.9608,244.8685,244.8688,,,
0,0,0,-0.032593,0.56148,,47.5309,-0.051886,245.3455,245.3072,245.2757,245.2289,244.9769,244.8785,244.8754,,,
0.15487,0.15487,0.15487,0.47016,0.71721,,57.5,0.00075224,245.4803,245.3877,245.335,245.2785,245.0072,244.8957,244.887,,,
0,0.15487,0.15487,0.47016,0.71721,,57.5,0.030822,245.5702,245.4536,245.3868,245.3234,245.0363,244.9127,244.8984,,,
0.2238,0.2238,0.37902,0.45681,1.0669,,66.6667,0.1153,245.8135,245.6075,245.501,245.4164,245.0859,244.9401,244.917,,,
0,0.2238,0.37902,0.45681,1.0669,,66.6667,0.15899,245.9757,245.7334,245.6009,245.5006,245.1335,244.9671,244.9353,,,
0,0,0.37902,0.37902,0.91781,,100,0.17446,246.0838,245.8364,245.6883,245.5767,245.1792,244.9934,244.9534,,,
